symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
A,1,1,1,1,0,0,1,0,1
AA,0,0,0,0,1,0,0,0,0
AAC,0,0,0,0,0,0,0,0,0
AACG,0,0,0,0,0,0,0,1,1
AAL,1,1,1,1,1,0,1,1,0
AAMC,0,0,1,0,0,0,0,0,0
AAME,0,1,1,1,0,0,0,1,0
AAN,1,1,0,1,0,0,1,1,0
AAOI,0,0,0,0,0,0,0,0,0
AAON,1,1,1,1,0,1,0,1,0
AAP,1,1,0,1,0,0,1,0,0
AAPL,1,1,1,1,1,1,1,0,1
AAT,1,1,1,1,0,0,0,1,0
AAU,0,0,0,0,0,0,1,1,0
AAWW,0,0,0,0,0,0,0,0,0
AB,1,0,1,0,0,0,0,1,0
ABB,1,1,0,1,0,0,1,0,0
ABBV,1,1,1,1,0,1,0,1,0
ABC,1,1,0,1,1,1,1,1,1
ABCB,1,1,0,1,0,0,1,0,0
ABCL,1,1,1,1,0,0,1,0,0
ABEO,0,0,0,0,0,0,0,1,0
ABEV,1,1,0,1,0,1,0,0,0
ABG,1,1,0,1,1,1,1,1,0
ABIO,0,0,1,0,0,1,0,1,0
ABM,1,1,1,1,1,0,0,1,1
ABMD,1,1,1,1,0,1,0,0,0
ABR,1,1,0,1,0,0,0,1,0
ABT,1,1,1,1,1,0,0,1,1
ABTX,1,1,0,1,1,0,1,0,0
ABUS,0,0,0,0,0,1,0,0,1
AC,1,0,1,0,0,0,1,0,1
ACA,1,1,1,1,1,0,1,1,1
ACAD,0,0,1,0,0,1,0,1,0
ACB,0,0,1,0,0,0,0,0,0
ACBA,0,0,0,0,0,0,0,0,0
ACBI,1,1,1,1,1,0,1,0,1
ACC,1,1,0,1,0,0,0,1,0
ACCO,1,1,0,1,0,0,1,1,0
ACEL,0,1,0,1,0,1,0,1,1
ACER,0,0,0,0,0,0,0,1,0
ACET,0,0,0,0,1,0,0,0,1
ACGL,1,1,1,1,1,0,0,0,0
ACH,1,1,0,1,1,0,0,0,1
ACHC,1,1,1,1,0,1,0,0,0
ACHV,0,0,0,0,0,1,0,1,0
ACII,0,0,1,0,0,1,0,1,1
ACIU,1,1,1,1,0,1,0,0,1
ACIW,1,1,0,1,0,0,1,0,0
ACLS,1,1,0,1,0,1,0,1,0
ACM,0,0,0,0,1,1,0,1,0
ACMR,1,1,1,1,0,1,0,1,0
ACN,1,1,0,1,1,1,1,1,0
ACNB,1,1,1,1,1,0,0,0,1
ACOR,0,0,0,0,1,0,0,1,0
